Gender,Gender Code,Single-Year Ages Code,Cause of death,Race,Place of Death,Deaths
Male,M,3,Handgun discharge,Black or African American,Medical Facility - Inpatient,1
Male,M,3,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,4,Handgun discharge,White,Medical Facility - Inpatient,1
Male,M,4,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Dead on Arrival,1
Male,M,4,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,5,Handgun discharge,Black or African American,Medical Facility - Inpatient,1
Male,M,5,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,5,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,5,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,6,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,6,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,7,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,7,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,8,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,9,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Male,M,9,"Rifle, shotgun and larger firearm discharge",White,Medical Facility - Outpatient or ER,1
Male,M,10,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,10,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,10,Discharge from other and unspecified firearms,White,Other,1
Male,M,11,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,11,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,11,Discharge from other and unspecified firearms,White,Other,1
Male,M,12,Discharge from other and unspecified firearms,American Indian or Alaska Native,Other,1
Male,M,12,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,12,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,12,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,12,Discharge from other and unspecified firearms,White,Other,1
Male,M,13,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,13,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,13,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,13,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,13,Discharge from other and unspecified firearms,White,Other,1
Male,M,14,Handgun discharge,Black or African American,Medical Facility - Inpatient,1
Male,M,14,Handgun discharge,White,Medical Facility - Inpatient,1
Male,M,14,Handgun discharge,White,Decedent's home,1
Male,M,14,Handgun discharge,White,Other,1
Male,M,14,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,14,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,14,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,15,Handgun discharge,White,Medical Facility - Inpatient,1
Male,M,15,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,15,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,15,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,16,Handgun discharge,White,Medical Facility - Inpatient,1
Male,M,16,Handgun discharge,White,Decedent's home,1
Male,M,16,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,17,Handgun discharge,American Indian or Alaska Native,Decedent's home,1
Male,M,17,Handgun discharge,Asian or Pacific Islander,Other,1
Male,M,17,Handgun discharge,White,Other,1
Male,M,17,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,17,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,17,Discharge from other and unspecified firearms,White,Other,1
Male,M,18,Handgun discharge,Asian or Pacific Islander,Medical Facility - Inpatient,1
Male,M,18,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,18,Discharge from other and unspecified firearms,American Indian or Alaska Native,Medical Facility - Outpatient or ER,1
Male,M,18,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,18,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Dead on Arrival,1
Male,M,18,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,18,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,18,Discharge from other and unspecified firearms,White,Other,1
Male,M,19,Handgun discharge,Black or African American,Other,1
Male,M,19,"Rifle, shotgun and larger firearm discharge",White,Medical Facility - Inpatient,1
Male,M,19,Discharge from other and unspecified firearms,American Indian or Alaska Native,Decedent's home,1
Male,M,19,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,19,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,19,Discharge from other and unspecified firearms,White,Other,1
Male,M,20,Handgun discharge,Black or African American,Medical Facility - Inpatient,1
Male,M,20,Handgun discharge,White,Decedent's home,1
Male,M,20,"Rifle, shotgun and larger firearm discharge",Black or African American,Medical Facility - Outpatient or ER,1
Male,M,20,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,20,Discharge from other and unspecified firearms,Asian or Pacific Islander,Other,1
Male,M,20,Discharge from other and unspecified firearms,White,Other,1
Male,M,21,Handgun discharge,White,Decedent's home,1
Male,M,21,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,21,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,21,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Dead on Arrival,1
Male,M,21,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,21,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,21,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,22,Handgun discharge,American Indian or Alaska Native,Medical Facility - Outpatient or ER,1
Male,M,22,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,22,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Male,M,22,Handgun discharge,White,Other,1
Male,M,22,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,22,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,22,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,22,Discharge from other and unspecified firearms,White,Medical Facility - Dead on Arrival,1
Male,M,23,Handgun discharge,American Indian or Alaska Native,Other,1
Male,M,23,Handgun discharge,White,Other,1
Male,M,23,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,23,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,23,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,24,Handgun discharge,Black or African American,Medical Facility - Inpatient,1
Male,M,24,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,24,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,24,Discharge from other and unspecified firearms,White,Other,1
Male,M,25,Handgun discharge,White,Decedent's home,1
Male,M,25,Handgun discharge,White,Other,1
Male,M,25,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,26,Handgun discharge,Black or African American,Medical Facility - Inpatient,1
Male,M,26,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,26,Discharge from other and unspecified firearms,Asian or Pacific Islander,Decedent's home,1
Male,M,26,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,26,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,26,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,26,Discharge from other and unspecified firearms,White,Other,1
Male,M,27,Handgun discharge,American Indian or Alaska Native,Hospice facility,1
Male,M,27,Handgun discharge,White,Decedent's home,1
Male,M,27,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,27,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,27,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,27,Discharge from other and unspecified firearms,White,Medical Facility - Dead on Arrival,1
Male,M,27,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,27,Discharge from other and unspecified firearms,White,Other,1
Male,M,28,Handgun discharge,White,Decedent's home,1
Male,M,28,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,28,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,28,Discharge from other and unspecified firearms,White,Other,1
Male,M,29,Handgun discharge,White,Decedent's home,1
Male,M,29,Discharge from other and unspecified firearms,American Indian or Alaska Native,Medical Facility - Inpatient,1
Male,M,29,Discharge from other and unspecified firearms,American Indian or Alaska Native,Other,1
Male,M,29,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,30,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,30,Handgun discharge,White,Decedent's home,1
Male,M,30,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,30,Discharge from other and unspecified firearms,American Indian or Alaska Native,Medical Facility - Inpatient,1
Male,M,30,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,30,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,31,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,31,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,31,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,31,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,32,Handgun discharge,White,Other,1
Male,M,32,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,32,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,32,Discharge from other and unspecified firearms,White,Other,1
Male,M,33,Handgun discharge,White,Decedent's home,1
Male,M,33,"Rifle, shotgun and larger firearm discharge",American Indian or Alaska Native,Other,1
Male,M,33,Discharge from other and unspecified firearms,Asian or Pacific Islander,Medical Facility - Inpatient,1
Male,M,33,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,33,Discharge from other and unspecified firearms,White,Other,1
Male,M,34,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Male,M,34,Handgun discharge,White,Decedent's home,1
Male,M,34,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,34,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,34,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,34,Discharge from other and unspecified firearms,White,Other,1
Male,M,35,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,35,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,36,"Rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Male,M,36,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,37,"Rifle, shotgun and larger firearm discharge",Black or African American,Decedent's home,1
Male,M,37,"Rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Male,M,37,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,37,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,37,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,37,Discharge from other and unspecified firearms,White,Other,1
Male,M,38,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Male,M,38,Handgun discharge,White,Decedent's home,1
Male,M,38,Discharge from other and unspecified firearms,Black or African American,Hospice facility,1
Male,M,38,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,39,"Rifle, shotgun and larger firearm discharge",White,Medical Facility - Outpatient or ER,1
Male,M,39,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,39,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,39,Discharge from other and unspecified firearms,White,Medical Facility - Dead on Arrival,1
Male,M,40,Handgun discharge,White,Other,1
Male,M,40,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,40,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,40,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,40,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,40,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,41,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,42,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,42,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,42,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,43,Handgun discharge,Black or African American,Decedent's home,1
Male,M,43,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,43,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,44,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,44,"Rifle, shotgun and larger firearm discharge",White,Medical Facility - Inpatient,1
Male,M,44,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,44,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,44,Discharge from other and unspecified firearms,White,Other,1
Male,M,45,"Rifle, shotgun and larger firearm discharge",White,Medical Facility - Outpatient or ER,1
Male,M,45,"Rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Male,M,45,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,45,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,46,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,46,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,47,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,47,Discharge from other and unspecified firearms,White,Other,1
Male,M,48,Handgun discharge,White,Medical Facility - Inpatient,1
Male,M,48,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,48,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,48,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,49,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,49,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,49,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,50,Discharge from other and unspecified firearms,White,Other,1
Male,M,51,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,52,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Inpatient,1
Male,M,52,Discharge from other and unspecified firearms,White,Other,1
Male,M,53,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,53,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,53,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,54,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,54,Discharge from other and unspecified firearms,White,Other,1
Male,M,55,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,55,Handgun discharge,White,Decedent's home,1
Male,M,55,Handgun discharge,White,Other,1
Male,M,55,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,56,Handgun discharge,White,Medical Facility - Inpatient,1
Male,M,56,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,56,Discharge from other and unspecified firearms,Asian or Pacific Islander,Medical Facility - Outpatient or ER,1
Male,M,56,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,56,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,57,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Male,M,57,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,57,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,57,Discharge from other and unspecified firearms,White,Other,1
Male,M,58,"Rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Male,M,58,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,58,Discharge from other and unspecified firearms,White,Other,1
Male,M,59,Handgun discharge,Black or African American,Medical Facility - Inpatient,1
Male,M,59,"Rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Male,M,59,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,59,Discharge from other and unspecified firearms,Black or African American,Other,1
Male,M,59,Discharge from other and unspecified firearms,White,Other,1
Male,M,60,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,60,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,60,Discharge from other and unspecified firearms,White,Other,1
Male,M,61,Handgun discharge,Black or African American,Decedent's home,1
Male,M,61,Discharge from other and unspecified firearms,White,Other,1
Male,M,62,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,63,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,63,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,65,Handgun discharge,White,Medical Facility - Inpatient,1
Male,M,65,Handgun discharge,White,Decedent's home,1
Male,M,65,"Rifle, shotgun and larger firearm discharge",White,Medical Facility - Outpatient or ER,1
Male,M,65,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,65,Discharge from other and unspecified firearms,White,Other,1
Male,M,66,Handgun discharge,White,Decedent's home,1
Male,M,66,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,66,Discharge from other and unspecified firearms,White,Other,1
Male,M,67,Handgun discharge,White,Decedent's home,1
Male,M,67,"Rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Male,M,67,Discharge from other and unspecified firearms,White,Other,1
Male,M,68,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,68,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,68,Discharge from other and unspecified firearms,White,Other,1
Male,M,69,Handgun discharge,Black or African American,Medical Facility - Outpatient or ER,1
Male,M,69,Discharge from other and unspecified firearms,White,Nursing home/long term care,1
Male,M,70,"Rifle, shotgun and larger firearm discharge",White,Other,1
Male,M,70,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,71,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Male,M,72,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,73,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,73,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,73,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,74,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Male,M,74,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Male,M,74,Discharge from other and unspecified firearms,White,Other,1
Male,M,77,"Rifle, shotgun and larger firearm discharge",White,Medical Facility - Inpatient,1
Male,M,77,Discharge from other and unspecified firearms,White,Other,1
Male,M,78,Handgun discharge,White,Medical Facility - Inpatient,1
Male,M,78,Handgun discharge,White,Decedent's home,1
Male,M,78,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,79,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,79,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,81,Discharge from other and unspecified firearms,White,Decedent's home,1
Male,M,82,Discharge from other and unspecified firearms,White,Other,1
Male,M,83,"Rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Male,M,84,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Male,M,84,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,85,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,88,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,94,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Female,F,10,Intentional self-harm by handgun discharge,White,Medical Facility - Outpatient or ER,1
Female,F,11,Intentional self-harm by other and unspecified firearm discharge,White,Decedent's home,1
Female,F,12,Intentional self-harm by other and unspecified firearm discharge,White,Medical Facility - Inpatient,1
Female,F,12,Intentional self-harm by other and unspecified firearm discharge,White,Other,1
Female,F,13,Intentional self-harm by other and unspecified firearm discharge,Black or African American,Other,1
Female,F,13,Intentional self-harm by other and unspecified firearm discharge,White,Other,1
Female,F,14,Intentional self-harm by handgun discharge,Black or African American,Other,1
Female,F,14,Intentional self-harm by handgun discharge,White,Other,1
Female,F,14,Intentional self-harm by other and unspecified firearm discharge,Asian or Pacific Islander,Decedent's home,1
Female,F,14,Intentional self-harm by other and unspecified firearm discharge,Asian or Pacific Islander,Other,1
Female,F,14,Intentional self-harm by other and unspecified firearm discharge,Black or African American,Medical Facility - Outpatient or ER,1
Female,F,14,Intentional self-harm by other and unspecified firearm discharge,Black or African American,Decedent's home,1
Female,F,14,Intentional self-harm by other and unspecified firearm discharge,White,Decedent's home,1
Female,F,15,Intentional self-harm by handgun discharge,Black or African American,Decedent's home,1
Female,F,15,"Intentional self-harm by rifle, shotgun and larger firearm discharge",American Indian or Alaska Native,Decedent's home,1
Female,F,15,"Intentional self-harm by rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Female,F,15,"Intentional self-harm by rifle, shotgun and larger firearm discharge",White,Other,1
Female,F,15,Intentional self-harm by other and unspecified firearm discharge,American Indian or Alaska Native,Decedent's home,1
Female,F,15,Intentional self-harm by other and unspecified firearm discharge,White,Medical Facility - Inpatient,1
Female,F,15,Intentional self-harm by other and unspecified firearm discharge,White,Other,1
Female,F,16,Intentional self-harm by handgun discharge,Asian or Pacific Islander,Other,1
Female,F,16,Intentional self-harm by handgun discharge,Black or African American,Medical Facility - Inpatient,1
Female,F,16,Intentional self-harm by handgun discharge,Black or African American,Decedent's home,1
Female,F,16,Intentional self-harm by handgun discharge,White,Medical Facility - Dead on Arrival,1
Female,F,16,Intentional self-harm by handgun discharge,White,Decedent's home,1
Female,F,16,"Intentional self-harm by rifle, shotgun and larger firearm discharge",Asian or Pacific Islander,Decedent's home,1
Female,F,16,"Intentional self-harm by rifle, shotgun and larger firearm discharge",Black or African American,Decedent's home,1
Female,F,16,"Intentional self-harm by rifle, shotgun and larger firearm discharge",White,Medical Facility - Outpatient or ER,1
Female,F,16,"Intentional self-harm by rifle, shotgun and larger firearm discharge",White,Decedent's home,1
Female,F,16,Intentional self-harm by other and unspecified firearm discharge,American Indian or Alaska Native,Medical Facility - Outpatient or ER,1
Female,F,16,Intentional self-harm by other and unspecified firearm discharge,Asian or Pacific Islander,Decedent's home,1
Female,F,16,Intentional self-harm by other and unspecified firearm discharge,Black or African American,Decedent's home,1
Female,F,16,Intentional self-harm by other and unspecified firearm discharge,Black or African American,Other,1
Female,F,16,Intentional self-harm by other and unspecified firearm discharge,White,Other,1
Female,F,17,Intentional self-harm by handgun discharge,Asian or Pacific Islander,Other,1
Female,F,17,Intentional self-harm by handgun discharge,White,Medical Facility - Inpatient,1
Female,F,17,"Intentional self-harm by rifle, shotgun and larger firearm discharge",White,Other,1
Female,F,17,Intentional self-harm by other and unspecified firearm discharge,American Indian or Alaska Native,Other,1
Female,F,17,Intentional self-harm by other and unspecified firearm discharge,White,Decedent's home,1
Female,F,18,Intentional self-harm by handgun discharge,Asian or Pacific Islander,Medical Facility - Outpatient or ER,1
Female,F,18,Intentional self-harm by handgun discharge,Asian or Pacific Islander,Decedent's home,1
Female,F,18,Intentional self-harm by handgun discharge,Black or African American,Medical Facility - Inpatient,1
