Gender,Gender Code,Single-Year Ages,Single-Year Ages Code,Cause of death,Cause of death Code,Race,Race Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate
Female,F,25 years,25,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,25 years,25,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Nursing home/long term care,6,1,Not Applicable,Not Applicable
Female,F,25 years,25,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,26 years,26,Handgun discharge,W32,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,29 years,29,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,29 years,29,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,31 years,31,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,32 years,32,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,32 years,32,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,32 years,32,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,33 years,33,Handgun discharge,W32,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,34 years,34,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,35 years,35,Discharge from other and unspecified firearms,W34,American Indian or Alaska Native,1002-5,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,35 years,35,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Dead on Arrival,3,1,Not Applicable,Not Applicable
Female,F,36 years,36,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,39 years,39,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,39 years,39,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,39 years,39,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,42 years,42,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,44 years,44,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,44 years,44,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,45 years,45,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,47 years,47,Handgun discharge,W32,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,48 years,48,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,49 years,49,Discharge from other and unspecified firearms,W34,Asian or Pacific Islander,A-PI,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,51 years,51,Handgun discharge,W32,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,51 years,51,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,52 years,52,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,53 years,53,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,55 years,55,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Female,F,57 years,57,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,58 years,58,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,59 years,59,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,60 years,60,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,61 years,61,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,63 years,63,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,64 years,64,Handgun discharge,W32,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,75 years,75,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,83 years,83,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,< 1 year,0,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,2 years,2,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,2 years,2,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,2 years,2,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,3 years,3,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,3 years,3,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,4 years,4,Handgun discharge,W32,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,4 years,4,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Dead on Arrival,3,1,Not Applicable,Not Applicable
Male,M,4 years,4,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,5 years,5,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,5 years,5,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,5 years,5,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,5 years,5,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,6 years,6,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Male,M,6 years,6,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,7 years,7,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,7 years,7,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,8 years,8,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,9 years,9,Handgun discharge,W32,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,9 years,9,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,10 years,10,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,10 years,10,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,10 years,10,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,11 years,11,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,11 years,11,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,11 years,11,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,12 years,12,Discharge from other and unspecified firearms,W34,American Indian or Alaska Native,1002-5,Other,7,1,Not Applicable,Not Applicable
Male,M,12 years,12,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,12 years,12,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,12 years,12,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,12 years,12,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,13 years,13,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,13 years,13,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,13 years,13,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,13 years,13,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,13 years,13,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,14 years,14,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,14 years,14,Handgun discharge,W32,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,14 years,14,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,14 years,14,Handgun discharge,W32,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,14 years,14,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,14 years,14,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,14 years,14,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,15 years,15,Handgun discharge,W32,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,15 years,15,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,15 years,15,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,15 years,15,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,16 years,16,Handgun discharge,W32,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,16 years,16,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,16 years,16,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,17 years,17,Handgun discharge,W32,American Indian or Alaska Native,1002-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,17 years,17,Handgun discharge,W32,Asian or Pacific Islander,A-PI,Other,7,1,Not Applicable,Not Applicable
Male,M,17 years,17,Handgun discharge,W32,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,17 years,17,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,17 years,17,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,17 years,17,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,18 years,18,Handgun discharge,W32,Asian or Pacific Islander,A-PI,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,18 years,18,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,18 years,18,Discharge from other and unspecified firearms,W34,American Indian or Alaska Native,1002-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,18 years,18,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,18 years,18,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Dead on Arrival,3,1,Not Applicable,Not Applicable
Male,M,18 years,18,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Male,M,18 years,18,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,18 years,18,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,19 years,19,Handgun discharge,W32,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Male,M,19 years,19,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,19 years,19,Discharge from other and unspecified firearms,W34,American Indian or Alaska Native,1002-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,19 years,19,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,19 years,19,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,19 years,19,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,20 years,20,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,20 years,20,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,20 years,20,"Rifle, shotgun and larger firearm discharge",W33,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,20 years,20,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,20 years,20,Discharge from other and unspecified firearms,W34,Asian or Pacific Islander,A-PI,Other,7,1,Not Applicable,Not Applicable
Male,M,20 years,20,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,21 years,21,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,21 years,21,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,21 years,21,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,21 years,21,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Dead on Arrival,3,1,Not Applicable,Not Applicable
Male,M,21 years,21,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Male,M,21 years,21,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,21 years,21,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,22 years,22,Handgun discharge,W32,American Indian or Alaska Native,1002-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,22 years,22,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,22 years,22,Handgun discharge,W32,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,22 years,22,Handgun discharge,W32,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,22 years,22,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,22 years,22,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,22 years,22,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,22 years,22,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Dead on Arrival,3,1,Not Applicable,Not Applicable
Male,M,23 years,23,Handgun discharge,W32,American Indian or Alaska Native,1002-5,Other,7,1,Not Applicable,Not Applicable
Male,M,23 years,23,Handgun discharge,W32,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,23 years,23,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,23 years,23,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,23 years,23,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,24 years,24,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,24 years,24,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,24 years,24,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Male,M,24 years,24,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,25 years,25,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,25 years,25,Handgun discharge,W32,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,25 years,25,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,26 years,26,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,26 years,26,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,26 years,26,Discharge from other and unspecified firearms,W34,Asian or Pacific Islander,A-PI,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,26 years,26,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,26 years,26,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Male,M,26 years,26,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,26 years,26,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,27 years,27,Handgun discharge,W32,American Indian or Alaska Native,1002-5,Hospice facility,5,1,Not Applicable,Not Applicable
Male,M,27 years,27,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,27 years,27,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,27 years,27,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,27 years,27,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Male,M,27 years,27,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Dead on Arrival,3,1,Not Applicable,Not Applicable
Male,M,27 years,27,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,27 years,27,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,28 years,28,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,28 years,28,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,28 years,28,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,28 years,28,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,29 years,29,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,29 years,29,Discharge from other and unspecified firearms,W34,American Indian or Alaska Native,1002-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,29 years,29,Discharge from other and unspecified firearms,W34,American Indian or Alaska Native,1002-5,Other,7,1,Not Applicable,Not Applicable
Male,M,29 years,29,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,30 years,30,Handgun discharge,W32,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,30 years,30,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,30 years,30,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,30 years,30,Discharge from other and unspecified firearms,W34,American Indian or Alaska Native,1002-5,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,30 years,30,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,30 years,30,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,31 years,31,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,31 years,31,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,31 years,31,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,31 years,31,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,32 years,32,Handgun discharge,W32,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,32 years,32,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,32 years,32,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,32 years,32,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,33 years,33,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,33 years,33,"Rifle, shotgun and larger firearm discharge",W33,American Indian or Alaska Native,1002-5,Other,7,1,Not Applicable,Not Applicable
Male,M,33 years,33,Discharge from other and unspecified firearms,W34,Asian or Pacific Islander,A-PI,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,33 years,33,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,33 years,33,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,34 years,34,Handgun discharge,W32,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,34 years,34,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,34 years,34,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,34 years,34,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,34 years,34,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,34 years,34,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,35 years,35,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Male,M,35 years,35,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Male,M,36 years,36,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,36 years,36,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,37 years,37,"Rifle, shotgun and larger firearm discharge",W33,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,37 years,37,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Male,M,37 years,37,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Male,M,37 years,37,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Male,M,37 years,37,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
